head,relation,tail,head_type,tail_type
ZNF227,GPI,Q86WZ6,gene,protein
LUZP1,GPI,Q86V48,gene,protein
NUP214,GPI,P35658,gene,protein
SLC14A2,GPI,Q15849,gene,protein
GATD3,GPI,P0DPI2,gene,protein
TMEM187,GPI,Q14656,gene,protein
ACOX3,GPI,O15254,gene,protein
BRAP,GPI,Q6UWU4,gene,protein
PLA2G6,GPI,O60733,gene,protein
DOC2A,GPI,Q14183,gene,protein
ATRN,GPI,O75882,gene,protein
CDC42BPA,GPI,Q5VT25,gene,protein
GEMIN2,GPI,O14893,gene,protein
PEX3,GPI,P56589,gene,protein
CST7,GPI,O76096,gene,protein
KHSRP,GPI,Q92945,gene,protein
TP63,GPI,Q9H3D4,gene,protein
DCHS1,GPI,Q96JQ0,gene,protein
DYRK4,GPI,Q9NR20,gene,protein
FCGBP,GPI,Q9Y6R7,gene,protein
LDB1,GPI,Q86U70,gene,protein
PAPSS1,GPI,O43252,gene,protein
SLC16A4,GPI,O15374,gene,protein
DGKI,GPI,O75912,gene,protein
PDLIM7,GPI,Q9NR12,gene,protein
BCL7C,GPI,Q8WUZ0,gene,protein
WDR46,GPI,O15213,gene,protein
STOML1,GPI,Q9UBI4,gene,protein
GSTO1,GPI,P78417,gene,protein
ITM2A,GPI,O43736,gene,protein
GGPS1,GPI,O95749,gene,protein
PICK1,GPI,Q9NRD5,gene,protein
BAG4,GPI,O95429,gene,protein
GTPBP1,GPI,O00178,gene,protein
NCOR1,GPI,O75376,gene,protein
GCC2,GPI,Q8IWJ2,gene,protein
TTLL4,GPI,Q14679,gene,protein
KDM4A,GPI,O75164,gene,protein
HDAC4,GPI,P56524,gene,protein
TBC1D5,GPI,Q92609,gene,protein
RNF144A,GPI,P50876,gene,protein
MATR3,GPI,P43243,gene,protein
ARHGAP11A,GPI,Q6P4F7,gene,protein
RGP1,GPI,P0DJD0,gene,protein
DNAJC6,GPI,O75061,gene,protein
TOX4,GPI,O94842,gene,protein
SNAP91,GPI,O60641,gene,protein
AP5Z1,GPI,O43299,gene,protein
P2RY14,GPI,Q15391,gene,protein
FGFBP1,GPI,Q14512,gene,protein
PDCD6IP,GPI,Q8WUM4,gene,protein
MED16,GPI,Q9Y2X0,gene,protein
ABCC9,GPI,O60706,gene,protein
SCAMP2,GPI,O15127,gene,protein
SGK2,GPI,Q9HBY8,gene,protein
RAD50,GPI,Q92878,gene,protein
RASGRP1,GPI,O95267,gene,protein
LHFPL2,GPI,Q6ZUX7,gene,protein
IRX5,GPI,P78411,gene,protein
EFS,GPI,O43281,gene,protein
TRAIP,GPI,Q9BWF2,gene,protein
KLF2,GPI,Q9Y5W3,gene,protein
CEPT1,GPI,Q9Y6K0,gene,protein
DLC1,GPI,P63167,gene,protein
SEMA4D,GPI,Q92854,gene,protein
SEMA3C,GPI,Q99985,gene,protein
CIB2,GPI,O75838,gene,protein
IPO8,GPI,O15397,gene,protein
CCT2,GPI,P78371,gene,protein
IFITM2,GPI,Q01629,gene,protein
CAMKK2,GPI,Q96RR4,gene,protein
CELF1,GPI,Q92879,gene,protein
ZNF268,GPI,Q14587,gene,protein
ALDH1L1,GPI,O75891,gene,protein
PPP1R17,GPI,O96001,gene,protein
CLP1,GPI,O94992,gene,protein
BTN3A2,GPI,P78410,gene,protein
BTN3A1,GPI,O00481,gene,protein
CAPN10,GPI,Q9HC96,gene,protein
CDC37,GPI,Q16543,gene,protein
FKBP9,GPI,O95302,gene,protein
OIP5,GPI,O43482,gene,protein
CD93,GPI,Q9NPY3,gene,protein
PLA2R1,GPI,Q13018,gene,protein
SIRT2,GPI,Q8IXJ6,gene,protein
