head,relation,tail,head_type,tail_type,label
596,CGI-D,ANKRD10,compound,gene,2
596,CGI-D,POLG2,compound,gene,2
596,CGI-D,DAG1,compound,gene,2
596,CGI-D,TMEM109,compound,gene,2
598,CGI-U,SFTPB,compound,gene,1
598,CGI-U,MPDU1,compound,gene,1
598,CGI-U,LRRC40,compound,gene,1
598,CGI-U,RBP3,compound,gene,1
598,CGI-U,YJU2,compound,gene,1
598,CGI-U,REM1,compound,gene,1
598,CGI-U,RXYLT1,compound,gene,1
598,CGI-U,INTS9,compound,gene,1
598,CGI-U,KAT6B,compound,gene,1
598,CGI-U,CTBP2,compound,gene,1
598,CGI-U,GART,compound,gene,1
598,CGI-D,RALBP1,compound,gene,2
598,CGI-D,BZW2,compound,gene,2
598,CGI-D,F2RL1,compound,gene,2
598,CGI-D,NAMPT,compound,gene,2
598,CGI-D,NNMT,compound,gene,2
681,CGI-U,FEV,compound,gene,1
681,CGI-U,COQ8A,compound,gene,1
681,CGI-U,STX1A,compound,gene,1
681,CGI-U,RAMP3,compound,gene,1
681,CGI-U,IL1B,compound,gene,1
681,CGI-U,MAST2,compound,gene,1
681,CGI-U,STIMATE,compound,gene,1
681,CGI-D,GREM1,compound,gene,2
681,CGI-D,CD44,compound,gene,2
681,CGI-D,RRAGC,compound,gene,2
681,CGI-D,TUBA4A,compound,gene,2
681,CGI-D,CCT6B,compound,gene,2
681,CGI-D,TMC5,compound,gene,2
681,CGI-D,BID,compound,gene,2
681,CGI-D,TUBA1A,compound,gene,2
681,CGI-D,BPHL,compound,gene,2
681,CGI-D,SLC2A8,compound,gene,2
681,CGI-D,CDC20,compound,gene,2
753,CGI-U,TNFAIP3,compound,gene,1
753,CGI-U,ZBTB10,compound,gene,1
753,CGI-U,SFSWAP,compound,gene,1
753,CGI-U,SF1,compound,gene,1
753,CGI-U,NCOR2,compound,gene,1
753,CGI-U,SNAP25,compound,gene,1
753,CGI-U,STEAP1,compound,gene,1
753,CGI-U,CACNA1A,compound,gene,1
753,CGI-U,EIF1B,compound,gene,1
753,CGI-U,DDX18,compound,gene,1
753,CGI-U,IGFBP1,compound,gene,1
753,CGI-U,UBE2V2,compound,gene,1
753,CGI-D,DNAJA3,compound,gene,2
